Type,Address
IPv4,135.84.148.0/22
IPv4,135.84.148.10/32
IPv4,135.84.148.11/32
IPv4,135.84.149.10/32
IPv4,135.84.149.11/32
IPv4,135.84.150.10/32
IPv4,135.84.150.11/32
IPv4,135.84.151.10/32
IPv4,135.84.151.11/32
IPv4,145.63.64.0/18
IPv4,147.12.16.0/20
IPv4,147.12.16.11/32
IPv4,147.12.16.12/32
IPv4,147.12.17.10/32
IPv4,147.12.17.11/32
IPv4,147.12.18.10/32
IPv4,147.12.18.11/32
IPv4,147.12.19.10/32
IPv4,147.12.19.11/32
IPv4,147.12.20.10/32
IPv4,147.12.20.11/32
IPv4,147.12.21.10/32
IPv4,147.12.21.11/32
IPv4,147.12.22.10/32
IPv4,147.12.22.11/32
IPv4,147.12.23.10/32
IPv4,147.12.23.11/32
IPv4,185.101.196.0/22
IPv4,185.101.198.10/32
IPv4,185.101.198.11/32
IPv4,213.52.172.0/25
IPv4,62.146.248.0/21
IPv4,62.146.248.10/32
IPv4,62.146.248.11/32
IPv4,62.146.249.10/32
IPv4,62.146.249.11/32
IPv4,62.146.250.10/32
IPv4,62.146.250.11/32
IPv4,62.146.252.10/32
IPv4,62.146.252.11/32
IPv4,66.199.8.10/32
IPv4,66.199.8.11/32
IPv4,82.199.87.128/26
IPv4,82.199.90.136/29
IPv4,82.199.90.160/27
IPv4,82.199.90.162/32
IPv4,82.199.90.163/32
IPv4,85.184.228.0/22
IPv4,85.184.228.10/32
IPv4,85.184.228.11/32
IPv4,85.184.229.10/32
IPv4,85.184.229.11/32
IPv4,85.184.230.10/32
IPv4,85.184.230.11/32
IPv4,85.184.231.10/32
IPv4,85.184.231.11/32
IPv4,91.212.42.0/24
IPv4,91.212.42.10/32
IPv4,91.212.42.11/32
