Type,Address
IPv4,142.44.220.0
IPv4,142.44.220.1
IPv4,142.44.220.10
IPv4,142.44.220.100
IPv4,142.44.220.101
IPv4,142.44.220.102
IPv4,142.44.220.103
IPv4,142.44.220.104
IPv4,142.44.220.105
IPv4,142.44.220.106
IPv4,142.44.220.107
IPv4,142.44.220.108
IPv4,142.44.220.109
IPv4,142.44.220.11
IPv4,142.44.220.110
IPv4,142.44.220.111
IPv4,142.44.220.112
IPv4,142.44.220.113
IPv4,142.44.220.114
IPv4,142.44.220.115
IPv4,142.44.220.116
IPv4,142.44.220.117
IPv4,142.44.220.118
IPv4,142.44.220.119
IPv4,142.44.220.12
IPv4,142.44.220.120
IPv4,142.44.220.121
IPv4,142.44.220.122
IPv4,142.44.220.123
IPv4,142.44.220.124
IPv4,142.44.220.125
IPv4,142.44.220.126
IPv4,142.44.220.127
IPv4,142.44.220.128
IPv4,142.44.220.129
IPv4,142.44.220.13
IPv4,142.44.220.130
IPv4,142.44.220.131
IPv4,142.44.220.132
IPv4,142.44.220.133
IPv4,142.44.220.134
IPv4,142.44.220.135
IPv4,142.44.220.136
IPv4,142.44.220.137
IPv4,142.44.220.138
IPv4,142.44.220.139
IPv4,142.44.220.14
IPv4,142.44.220.140
IPv4,142.44.220.141
IPv4,142.44.220.142
IPv4,142.44.220.143
IPv4,142.44.220.144
IPv4,142.44.220.145
IPv4,142.44.220.146
IPv4,142.44.220.147
IPv4,142.44.220.148
IPv4,142.44.220.149
IPv4,142.44.220.15
IPv4,142.44.220.150
IPv4,142.44.220.151
IPv4,142.44.220.152
IPv4,142.44.220.153
IPv4,142.44.220.154
IPv4,142.44.220.155
IPv4,142.44.220.156
IPv4,142.44.220.157
IPv4,142.44.220.158
IPv4,142.44.220.159
IPv4,142.44.220.16
IPv4,142.44.220.160
IPv4,142.44.220.161
IPv4,142.44.220.162
IPv4,142.44.220.163
IPv4,142.44.220.164
IPv4,142.44.220.165
IPv4,142.44.220.166
IPv4,142.44.220.167
IPv4,142.44.220.168
IPv4,142.44.220.169
IPv4,142.44.220.17
IPv4,142.44.220.170
IPv4,142.44.220.171
IPv4,142.44.220.172
IPv4,142.44.220.173
IPv4,142.44.220.174
IPv4,142.44.220.175
IPv4,142.44.220.176
IPv4,142.44.220.177
IPv4,142.44.220.178
IPv4,142.44.220.179
IPv4,142.44.220.18
IPv4,142.44.220.180
IPv4,142.44.220.181
IPv4,142.44.220.182
IPv4,142.44.220.183
IPv4,142.44.220.184
IPv4,142.44.220.185
IPv4,142.44.220.186
IPv4,142.44.220.187
IPv4,142.44.220.188
IPv4,142.44.220.189
IPv4,142.44.220.19
IPv4,142.44.220.190
IPv4,142.44.220.191
IPv4,142.44.220.192
IPv4,142.44.220.193
IPv4,142.44.220.194
IPv4,142.44.220.195
IPv4,142.44.220.196
IPv4,142.44.220.197
IPv4,142.44.220.198
IPv4,142.44.220.199
IPv4,142.44.220.2
IPv4,142.44.220.20
IPv4,142.44.220.200
IPv4,142.44.220.201
IPv4,142.44.220.202
IPv4,142.44.220.203
IPv4,142.44.220.204
IPv4,142.44.220.205
IPv4,142.44.220.206
IPv4,142.44.220.207
IPv4,142.44.220.208
IPv4,142.44.220.209
IPv4,142.44.220.21
IPv4,142.44.220.210
IPv4,142.44.220.211
IPv4,142.44.220.212
IPv4,142.44.220.213
IPv4,142.44.220.214
IPv4,142.44.220.215
