Type,Address,Providers,RetiredAt
IPv4,1.12.0.0/14,tencent,
IPv4,1.92.0.0/16,huawei-cloud,
IPv4,1.94.0.0/15,huawei-cloud,
IPv4,1.116.0.0/15,tencent,
IPv4,1.178.1.0/24,aws,
IPv4,1.178.4.0/22,aws;heroku-aws,
IPv4,1.178.8.0/22,aws,
IPv4,1.178.16.0/20,aws,
IPv4,1.178.32.0/19,huawei-cloud,
IPv4,1.178.64.0/23,aws,
IPv4,1.178.72.0/21,aws,
IPv4,1.178.86.0/23,aws,
IPv4,1.178.88.0/21,aws,
IPv4,1.178.100.0/22,aws,
IPv4,1.178.172.0/23,aws,
IPv4,1.178.174.0/24,aws,
IPv4,1.178.180.0/22,aws,
IPv4,1.179.2.0/23,aws,
IPv4,1.179.14.0/23,aws,
IPv4,1.179.60.0/23,aws,
IPv4,1.179.101.0/24,aws,
IPv4,1.179.102.0/23,aws,
IPv4,1.201.184.0/22,tencent,
IPv4,1.201.188.0/23,tencent,
IPv4,2.16.0.0/13,akamai,
IPv4,2.26.24.0/22,hetzner,
IPv4,2.26.76.0/23,hetzner,
IPv4,2.26.112.0/22,hetzner,
IPv4,2.26.132.0/23,hetzner;ovh,
IPv4,2.26.134.0/24,hetzner,
IPv4,2.26.136.0/23,hetzner,
IPv4,2.26.141.0/24,hetzner,
IPv4,2.26.142.0/23,hetzner;ovh,
IPv4,2.26.153.0/24,ovh,
IPv4,2.26.155.0/24,ovh,
IPv4,2.26.161.0/24,nforce,
IPv4,2.26.166.0/24,ovh,
IPv4,2.26.176.0/24,ovh,
IPv4,2.26.222.0/24,ovh,
IPv4,2.27.7.0/24,nforce,
IPv4,2.27.8.0/22,hetzner,
IPv4,2.27.24.0/23,hetzner,
IPv4,2.27.28.0/22,hetzner,
IPv4,2.27.44.0/22,hetzner,
IPv4,2.27.79.0/24,ovh,
IPv4,2.27.86.0/24,hetzner,
IPv4,2.27.127.0/24,hetzner,
IPv4,2.27.160.0/24,ovh,
IPv4,2.27.172.0/24,ovh,
IPv4,2.27.234.0/24,ovh,
IPv4,2.27.248.0/24,ovh,
IPv4,2.56.96.0/22,hetzner,
IPv4,2.57.56.0/24,cyso-cloud,
IPv4,2.57.242.0/23,hetzner,
IPv4,2.58.95.0/24,hetzner,
IPv4,2.58.97.0/24,hetzner,
IPv4,2.58.172.0/24,ovh,
IPv4,2.59.118.0/24,nforce,
IPv4,2.59.132.0/22,ovh,
IPv4,2.59.161.0/24,hetzner,
IPv4,2.59.162.0/23,hetzner,
IPv4,3.0.0.0/15,aws;datadog;grafana-cloud;okta,
IPv4,3.2.0.0/22,aws,
IPv4,3.2.4.0/23,aws,
IPv4,3.2.8.0/21,aws,
IPv4,3.2.48.0/21,aws,
IPv4,3.2.56.0/22,aws,
IPv4,3.2.60.0/23,aws,
IPv4,3.2.64.0/19,aws;heroku-aws,
IPv4,3.2.96.0/22,aws,
IPv4,3.2.100.0/23,aws,
IPv4,3.2.102.0/24,aws,
IPv4,3.3.0.0/22,aws;heroku-aws,
IPv4,3.3.5.0/24,aws,
IPv4,3.3.6.0/23,aws,
IPv4,3.3.8.0/21,aws,
IPv4,3.3.16.0/20,aws,
IPv4,3.3.32.0/23,aws,
IPv4,3.4.0.0/22,aws,
IPv4,3.4.4.0/24,aws,
IPv4,3.4.6.0/24,aws,
IPv4,3.4.8.0/23,aws;heroku-aws,
IPv4,3.4.10.0/24,aws,
IPv4,3.4.12.1/32,aws,
IPv4,3.4.12.2/31,aws,
IPv4,3.4.12.4/31,aws,
IPv4,3.4.12.6/32,aws,
IPv4,3.4.12.11/32,aws,
IPv4,3.4.12.12/32,aws,
IPv4,3.4.12.15/32,aws,
IPv4,3.4.12.16/28,aws,
IPv4,3.4.12.32/29,aws,
IPv4,3.4.12.40/30,aws,
IPv4,3.4.12.44/31,aws,
IPv4,3.4.12.46/32,aws,
IPv4,3.4.12.49/32,aws,
IPv4,3.4.12.50/31,aws,
IPv4,3.4.12.52/30,aws,
IPv4,3.4.12.56/30,aws,
IPv4,3.4.12.60/32,aws,
IPv4,3.4.13.0/26,aws,
IPv4,3.4.13.64/27,aws,
IPv4,3.4.15.0/25,aws,
IPv4,3.4.15.128/28,aws,
IPv4,3.4.15.152/29,aws,
IPv4,3.4.15.160/27,aws,
IPv4,3.4.15.192/29,aws,
IPv4,3.4.16.0/20,aws,
IPv4,3.4.32.0/20,aws,
IPv4,3.5.0.0/18,aws;heroku-aws,
IPv4,3.5.64.0/19,aws,
IPv4,3.5.96.0/20,aws,
IPv4,3.5.120.0/22,aws,
IPv4,3.5.126.0/23,aws,
IPv4,3.5.128.0/19,aws,
IPv4,3.5.160.0/21,aws,
IPv4,3.5.168.0/23,aws,
IPv4,3.5.172.0/22,aws,
IPv4,3.5.180.0/22,aws,
IPv4,3.5.184.0/21,aws,
IPv4,3.5.192.0/21,aws,
IPv4,3.5.202.0/23,aws,
IPv4,3.5.204.0/22,aws,
IPv4,3.5.208.0/20,aws,
IPv4,3.5.224.0/19,aws,
IPv4,3.6.0.0/15,atlassian;aws;grafana-cloud,
IPv4,3.8.0.0/13,aws;grafana-cloud;okta,
IPv4,3.16.0.0/12,aws;datadog;grafana-cloud;okta;stripe,
IPv4,3.32.0.0/16,aws,
IPv4,3.33.44.0/22,aws,
IPv4,3.33.128.0/17,aws;okta,
IPv4,3.34.0.0/15,atlassian;aws;datadog,
IPv4,3.36.0.0/14,atlassian;aws;datadog;new-relic-synthetics,
IPv4,3.40.0.0/14,aws;datadog;heroku-aws;okta,
IPv4,3.44.0.0/16,aws;datadog,
IPv4,3.45.0.0/17,aws;datadog,
IPv4,3.64.0.0/11,atlassian;aws;datadog;grafana-cloud;heroku-aws;okta;stripe,
IPv4,3.96.0.0/14,atlassian;aws;datadog;grafana-cloud;new-relic-synthetics;okta,
IPv4,3.101.0.0/16,aws,
IPv4,3.102.0.0/15,aws,
IPv4,3.104.0.0/13,atlassian;aws;grafana-cloud;intercom;new-relic-synthetics;okta,
IPv4,3.112.0.0/14,atlassian;aws;okta,
IPv4,3.120.0.0/13,atlassian;aws;datadog;grafana-cloud;okta;pagerduty;stripe,
IPv4,3.128.0.0/12,aws;grafana-cloud;okta;stripe,
IPv4,3.144.0.0/13,aws;grafana-cloud;okta,
IPv4,3.160.0.0/13,aws,
IPv4,3.168.0.0/14,aws,
IPv4,3.172.0.0/17,aws,
IPv4,3.173.0.0/16,aws,
IPv4,3.174.0.0/15,aws,
IPv4,3.208.0.0/12,atlassian;aws;circleci;datadog;heroku-aws;okta;perplexity,
IPv4,3.224.0.0/12,atlassian;aws;circleci;datadog;heroku-aws;okta;perplexity,
IPv4,3.248.0.0/13,aws;okta,
IPv4,4.144.0.0/12,cisco-webex;microsoft-azure;openai,
IPv4,4.160.0.0/12,cisco-webex;microsoft-azure,
IPv4,4.176.0.0/13,microsoft-azure,
IPv4,4.184.0.0/20,microsoft-azure,
IPv4,4.184.56.0/21,microsoft-azure,
IPv4,4.184.64.0/18,microsoft-azure,
IPv4,4.184.128.0/17,microsoft-azure,
IPv4,4.185.0.0/16,microsoft-azure,
IPv4,4.186.0.0/15,microsoft-azure,
IPv4,4.188.0.0/14,microsoft-azure;openai,
IPv4,4.192.0.0/13,microsoft-azure;openai,
IPv4,4.200.0.0/15,microsoft-azure,
IPv4,4.202.0.0/16,microsoft-azure,
IPv4,4.203.0.0/17,microsoft-azure,
IPv4,4.203.128.0/19,microsoft-azure,
IPv4,4.204.0.0/14,microsoft-azure;openai,
IPv4,4.208.0.0/12,github;microsoft-azure,
IPv4,4.224.0.0/13,github;microsoft-azure;openai,
IPv4,4.232.0.0/17,microsoft-azure,
IPv4,4.232.128.0/18,microsoft-azure,
IPv4,4.232.192.0/21,microsoft-azure,
IPv4,4.232.208.0/20,microsoft-azure,
IPv4,4.232.224.0/19,microsoft-azure,
IPv4,4.233.0.0/16,microsoft-azure,
IPv4,4.234.0.0/15,microsoft-azure,
IPv4,4.236.0.0/14,github;microsoft-azure,
IPv4,4.240.0.0/12,microsoft-azure,
IPv4,5.8.248.0/24,ovh,
IPv4,5.9.0.0/16,hetzner,
IPv4,5.10.96.0/19,softlayer-ibm,
IPv4,5.10.212.0/23,hetzner,
IPv4,5.10.218.0/24,ovh,
IPv4,5.10.223.0/24,ovh,
IPv4,5.22.155.0/24,heroku-aws,
IPv4,5.22.208.0/20,upcloud,
IPv4,5.39.0.0/17,ahrefs;ovh,
IPv4,5.39.216.0/21,hetzner,
IPv4,5.39.249.0/24,hetzner,
IPv4,5.39.250.0/24,hetzner,
IPv4,5.39.252.0/24,hetzner,
IPv4,5.39.254.0/23,hetzner,
IPv4,5.42.199.0/24,hetzner,
IPv4,5.44.42.0/24,hetzner,
IPv4,5.44.254.0/24,ovh,
IPv4,5.45.58.0/23,softlayer-ibm,
IPv4,5.45.96.0/20,hetzner,
IPv4,5.45.144.0/22,hetzner,
IPv4,5.57.208.0/24,upcloud,
IPv4,5.60.0.0/20,aws,
IPv4,5.60.32.0/20,aws,
IPv4,5.60.64.0/18,aws;heroku-aws,
IPv4,5.60.128.0/17,aws;datadog,
IPv4,5.61.27.0/24,ovh,
IPv4,5.61.128.0/18,hetzner,
IPv4,5.62.36.0/23,softlayer-ibm,
IPv4,5.62.54.0/24,softlayer-ibm,
IPv4,5.62.60.0/23,softlayer-ibm,
IPv4,5.63.24.0/22,softlayer-ibm,
IPv4,5.63.28.0/23,softlayer-ibm,
IPv4,5.75.128.0/17,hetzner,
IPv4,5.79.0.0/18,rackspace,
IPv4,5.83.137.0/24,ovh,
IPv4,5.83.159.0/24,softlayer-ibm,
IPv4,5.83.212.0/24,choopa,
IPv4,5.101.88.0/24,hetzner,
IPv4,5.101.96.0/21,digitalocean,
IPv4,5.101.104.0/22,digitalocean,
IPv4,5.102.112.0/22,choopa,
IPv4,5.104.136.0/22,nforce,
IPv4,5.104.141.0/24,nforce,
IPv4,5.104.142.0/23,nforce,
IPv4,5.133.24.0/22,ovh,
IPv4,5.133.101.0/24,ovh,
IPv4,5.135.0.0/16,ovh,
IPv4,5.144.160.0/20,seeweb,
IPv4,5.144.176.0/22,hetzner;ovh,
IPv4,5.144.180.0/23,hetzner,
IPv4,5.172.36.0/24,ovh,
IPv4,5.174.0.0/16,aws,
IPv4,5.175.162.0/24,ovh,
IPv4,5.175.164.0/24,ovh,
IPv4,5.175.168.0/24,ovh,
IPv4,5.175.179.0/24,ovh,
IPv4,5.175.187.0/24,ovh,
IPv4,5.175.190.0/24,choopa,
IPv4,5.175.195.0/24,ovh,
IPv4,5.175.246.0/24,ovh,
IPv4,5.178.2.0/23,hetzner;nforce,
IPv4,5.178.96.0/24,hetzner,
IPv4,5.178.106.0/24,ovh,
IPv4,5.178.109.0/24,hetzner,
IPv4,5.178.110.0/24,ovh,
IPv4,5.179.96.0/20,aws,
IPv4,5.180.114.0/24,nforce,
IPv4,5.180.136.0/23,hetzner,
IPv4,5.180.172.0/23,hetzner,
IPv4,5.180.180.0/22,nforce,
IPv4,5.181.2.0/23,hetzner,
IPv4,5.181.48.0/22,hetzner,
IPv4,5.181.168.0/23,hetzner,
IPv4,5.181.171.0/24,hetzner,
IPv4,5.181.200.0/24,heroku-aws,
IPv4,5.181.224.0/23,alibaba,
IPv4,5.182.19.0/24,ovh,
IPv4,5.182.22.0/24,choopa,
IPv4,5.182.200.0/22,hetzner;ovh,
IPv4,5.183.214.0/24,ovh,
IPv4,5.183.253.0/24,hetzner,
IPv4,5.183.254.0/23,hetzner,
IPv4,5.187.33.0/24,nforce,
IPv4,5.188.174.0/23,nforce,
IPv4,5.188.232.0/24,hetzner,
IPv4,5.196.0.0/16,ovh,
IPv4,5.199.2.0/24,ovh,
IPv4,5.199.9.0/24,hetzner,
