Type,Address,RetiredAt
IPv4,185.12.176.0/22,
IPv4,194.182.104.0/22,
IPv4,217.61.0.0/21,
IPv4,217.61.104.0/21,
IPv4,86.105.48.0/22,
IPv4,86.105.52.0/22,
IPv4,89.36.216.0/22,
IPv4,89.40.116.0/22,
IPv4,89.40.124.0/22,
IPv4,94.177.224.0/21,
IPv4,94.177.244.0/22,
IPv6,2a03:a140::/32,
IPv4,86.105.52.0/24,2026-07-20T02:52:04.613836+00:00
IPv4,89.40.117.0/24,2026-07-20T02:52:04.613836+00:00
IPv4,94.177.226.0/24,2026-07-20T02:52:04.613836+00:00
IPv4,94.177.228.0/24,2026-07-20T02:52:04.613836+00:00
IPv4,185.12.177.0/24,2026-07-20T02:52:04.613836+00:00
IPv4,89.40.126.0/24,2026-07-20T02:52:04.613836+00:00
