Type,Address,RetiredAt
IPv4,100.21.145.61/32,
IPv4,139.87.104.123/32,
IPv4,184.169.196.16/32,
IPv4,35.160.133.187/32,
IPv4,35.160.5.60/32,
IPv4,35.161.135.86/32,
IPv4,35.163.128.27/32,
IPv4,35.167.148.222/32,
IPv4,44.229.177.148/32,
IPv4,44.230.175.24/32,
IPv4,44.231.103.124/32,
IPv4,44.237.121.167/32,
IPv4,44.238.95.201/32,
IPv4,44.247.175.42/32,
IPv4,44.247.58.38/32,
IPv4,52.27.172.117/32,
IPv4,52.33.75.0/32,
IPv4,52.34.127.49/32,
IPv4,52.43.119.253/32,
IPv4,52.52.143.205/32,
IPv4,52.52.236.153/32,
IPv4,52.53.45.79/32,
IPv4,52.8.3.171/32,
IPv4,52.8.85.213/32,
IPv4,52.9.159.121/32,
IPv4,52.9.176.205/32,
IPv4,52.9.188.221/32,
IPv4,52.9.188.236/32,
IPv4,54.153.26.149/32,
IPv4,54.153.41.111/32,
IPv4,54.176.133.14/32,
IPv4,54.176.26.254/32,
IPv4,54.177.16.103/32,
IPv4,54.193.10.161/32,
IPv4,54.213.17.93/32,
IPv4,54.241.169.87/32,
IPv4,5.1.2.2/32,2026-06-16T03:59:46.504059+00:00
