Type,Address,RetiredAt
IPv4,101.69.205.224/27,
IPv4,103.21.244.0/22,
IPv4,103.22.200.0/22,
IPv4,103.31.4.0/22,
IPv4,103.44.252.32/27,
IPv4,104.16.0.0/13,
IPv4,104.24.0.0/14,
IPv4,106.225.240.96/27,
IPv4,108.162.192.0/18,
IPv4,111.124.70.32/27,
IPv4,111.170.27.96/27,
IPv4,111.177.11.224/27,
IPv4,111.7.87.160/27,
IPv4,112.49.47.96/27,
IPv4,113.56.217.96/27,
IPv4,114.67.161.32/27,
IPv4,114.67.192.208/28,
IPv4,116.163.41.64/26,
IPv4,116.198.165.16/28,
IPv4,116.198.49.144/28,
IPv4,117.187.185.32/27,
IPv4,117.187.40.32/27,
IPv4,118.180.26.32/27,
IPv4,119.0.67.32/27,
IPv4,119.188.204.32/27,
IPv4,119.6.235.32/27,
IPv4,120.206.188.224/27,
IPv4,120.220.55.96/27,
IPv4,120.226.37.160/27,
IPv4,121.17.125.32/27,
IPv4,122.190.152.160/27,
IPv4,122.226.163.224/27,
IPv4,123.138.203.160/27,
IPv4,124.166.232.32/27,
IPv4,124.225.84.32/27,
IPv4,124.236.72.32/27,
IPv4,125.77.31.224/27,
IPv4,131.0.72.0/22,
IPv4,14.204.96.224/27,
IPv4,141.101.64.0/18,
IPv4,150.138.153.192/26,
IPv4,162.158.0.0/15,
IPv4,172.64.0.0/13,
IPv4,173.245.48.0/20,
IPv4,182.201.240.224/27,
IPv4,183.131.87.224/27,
IPv4,188.114.96.0/20,
IPv4,190.93.240.0/20,
IPv4,197.234.240.0/22,
IPv4,198.41.128.0/17,
IPv4,198.41.130.16/28,
IPv4,218.205.95.64/27,
IPv4,218.207.1.32/27,
IPv4,220.185.189.128/25,
IPv4,222.211.66.64/27,
IPv4,223.85.111.224/27,
IPv4,27.128.218.224/27,
IPv4,27.36.126.224/27,
IPv4,36.136.95.32/27,
IPv4,36.147.52.160/27,
IPv4,36.154.11.224/27,
IPv4,42.236.121.160/27,
IPv4,60.13.99.64/26,
IPv6,2400:cb00:164:0:1000::/68,
IPv6,2400:cb00::/32,
IPv6,2403:1ec0:1200:ff98::/64,
IPv6,2403:1ec0:1400:ff01::/64,
IPv6,2403:1ec0:1400:ff05::/64,
IPv6,2403:1ec0:1610:ff05::/64,
IPv6,2405:8100::/32,
IPv6,2405:b500::/32,
IPv6,2408:8719:64:50:1000::/68,
IPv6,2408:871a:8810:205:1000::/68,
IPv6,2408:8720:806:102:1000::/68,
IPv6,2408:8726:3000:fff4:1000::/68,
IPv6,2408:8740:71fc:406:1000::/68,
IPv6,2408:874f:8000:20:1000::/68,
IPv6,2408:874f:b000:4:1000::/68,
IPv6,2408:8752:600:6:1000::/68,
IPv6,2408:8756:4cff:d002:1000::/68,
IPv6,2408:8760:107:2:1000::/68,
IPv6,2408:8766:5:3:1000::/68,
IPv6,2408:876c:2c0:112:1000::/68,
IPv6,2408:8773:fff:ffe1:1000::/68,
IPv6,2409:8720:4001:2:1000::/68,
IPv6,2409:8760:1e81:52:1000::/68,
IPv6,2409:8c28:203:a:1000::/68,
IPv6,2409:8c34:d00:6:1000::/68,
IPv6,2409:8c38:c50:604:1000::/68,
IPv6,2409:8c3c:1400:5:1000::/68,
IPv6,2409:8c44:1b00:d06:1000::/68,
IPv6,2409:8c50:a00:2213:1000::/68,
IPv6,2409:8c5c:b00:206:1000::/68,
IPv6,2409:8c62:e10:a04:1000::/68,
IPv6,2409:8c6a:3a11:2:1000::/68,
IPv6,2409:8c6a:4c11:1101:1000::/68,
IPv6,2409:8c6c:561:8124:1000::/68,
IPv6,240e:90d:1101:203:1000::/68,
IPv6,240e:914:4005:1:1000::/68,
IPv6,240e:935:a04:2b21:1000::/68,
IPv6,240e:938:a05:22:1000::/68,
IPv6,240e:940:e009:14e:1000::/68,
IPv6,240e:944:8:5:1000::/68,
IPv6,240e:95d:802:400:1000::/68,
IPv6,240e:95d:c02:7:1000::/68,
IPv6,240e:965:820:105:1000::/68,
IPv6,240e:974:e200:2305:1000::/68,
IPv6,240e:97c:4014:102:1000::/68,
IPv6,240e:b1:9801:20d:1000::/68,
IPv6,240e:cf:8800:1b:1000::/68,
IPv6,240e:f7:4d0f:601:1000::/68,
IPv6,240e:f7:7c00:821:1000::/68,
IPv6,2606:4700::/32,
IPv6,2803:f800::/32,
IPv6,2a06:98c0::/29,
IPv6,2c0f:f248::/32,
IPv4,111.124.206.32/27,2026-07-16T02:33:16.712034+00:00
IPv4,111.48.87.160/27,2026-07-16T02:33:16.712034+00:00
IPv6,2409:8c4d:5200:c05:1000::/68,2026-07-16T02:33:16.712034+00:00
IPv6,240e:938:a07:16:1000::/68,2026-07-16T02:33:16.712034+00:00
