Type,Address,RetiredAt
IPv4,100.21.189.46/32,
IPv4,100.25.197.198/32,
IPv4,104.154.148.31/32,
IPv4,104.154.179.160/32,
IPv4,104.154.18.168/32,
IPv4,104.155.17.39/32,
IPv4,104.155.37.135/32,
IPv4,104.196.112.131/32,
IPv4,104.197.149.206/32,
IPv4,104.197.203.224/32,
IPv4,104.197.72.38/32,
IPv4,104.199.42.73/32,
IPv4,104.199.83.1/32,
IPv4,107.178.208.235/32,
IPv4,108.136.64.45/32,
IPv4,108.136.82.5/32,
IPv4,128.203.176.4/32,
IPv4,13.113.209.77/32,
IPv4,13.200.130.157/32,
IPv4,13.200.142.37/32,
IPv4,13.200.232.173/32,
IPv4,13.203.138.36/32,
IPv4,13.210.210.186/32,
IPv4,13.228.255.186/32,
IPv4,13.228.87.105/32,
IPv4,13.232.127.226/32,
IPv4,13.234.70.74/32,
IPv4,13.236.31.23/32,
IPv4,13.237.101.109/32,
IPv4,13.237.86.14/32,
IPv4,13.251.78.92/32,
IPv4,13.41.125.195/32,
IPv4,13.43.116.114/32,
IPv4,13.48.99.242/32,
IPv4,13.49.83.247/32,
IPv4,13.50.45.28/32,
IPv4,13.55.116.246/32,
IPv4,13.55.172.2/32,
IPv4,13.61.108.60/32,
IPv4,13.61.134.179/32,
IPv4,130.211.24.65/32,
IPv4,130.211.63.98/32,
IPv4,132.220.117.221/32,
IPv4,146.148.114.193/32,
IPv4,15.156.140.79/32,
IPv4,15.156.211.88/32,
IPv4,15.156.241.132/32,
IPv4,15.206.236.194/32,
IPv4,15.222.225.197/32,
IPv4,15.223.9.172/32,
IPv4,15.232.2.184/32,
IPv4,16.16.136.87/32,
IPv4,16.16.37.237/32,
IPv4,16.170.105.167/32,
IPv4,16.171.75.171/32,
IPv4,16.58.61.212/32,
IPv4,16.63.104.28/32,
IPv4,16.63.143.105/32,
IPv4,16.63.57.20/32,
IPv4,16.78.129.243/32,
IPv4,16.78.139.254/32,
IPv4,16.78.204.11/32,
IPv4,16.78.236.220/32,
IPv4,16.78.37.197/32,
IPv4,16.78.53.105/32,
IPv4,175.41.139.143/32,
IPv4,18.119.77.66/32,
IPv4,18.132.219.109/32,
IPv4,18.133.152.132/32,
IPv4,18.142.80.155/32,
IPv4,18.158.150.128/32,
IPv4,18.159.83.176/32,
IPv4,18.168.12.162/32,
IPv4,18.171.24.48/32,
IPv4,18.171.81.12/32,
IPv4,18.178.120.203/32,
IPv4,18.180.113.16/32,
IPv4,18.180.116.69/32,
IPv4,18.182.219.129/32,
IPv4,18.184.215.172/32,
IPv4,18.185.67.55/32,
IPv4,18.188.204.123/32,
IPv4,18.189.247.238/32,
IPv4,18.192.193.115/32,
IPv4,18.196.109.35/32,
IPv4,18.197.139.237/32,
IPv4,18.197.82.168/32,
IPv4,18.198.199.36/32,
IPv4,18.199.110.254/32,
IPv4,18.216.223.185/32,
IPv4,18.221.198.70/32,
IPv4,18.221.70.133/32,
IPv4,18.222.57.225/32,
IPv4,18.228.234.137/32,
IPv4,18.228.84.204/32,
IPv4,18.229.199.159/32,
IPv4,18.229.226.84/32,
IPv4,18.230.80.250/32,
IPv4,20.31.17.143/32,
IPv4,20.40.212.224/32,
IPv4,20.40.212.225/32,
IPv4,20.40.212.226/32,
IPv4,20.40.212.227/32,
IPv4,20.40.212.228/32,
IPv4,20.40.212.229/32,
IPv4,20.40.212.230/32,
IPv4,20.40.212.231/32,
IPv4,20.40.212.232/32,
IPv4,20.40.212.233/32,
IPv4,20.40.212.234/32,
IPv4,20.40.212.235/32,
IPv4,20.40.212.236/32,
IPv4,20.40.212.237/32,
IPv4,20.40.212.238/32,
IPv4,20.40.212.239/32,
IPv4,20.67.29.224/32,
IPv4,20.67.29.225/32,
IPv4,20.67.29.226/32,
IPv4,20.67.29.227/32,
IPv4,20.67.29.228/32,
IPv4,20.67.29.229/32,
IPv4,20.67.29.230/32,
IPv4,20.67.29.231/32,
IPv4,20.67.29.232/32,
IPv4,20.67.29.233/32,
IPv4,20.67.29.234/32,
IPv4,20.67.29.235/32,
IPv4,20.67.29.236/32,
IPv4,20.67.29.237/32,
IPv4,20.67.29.238/32,
IPv4,20.67.29.239/32,
IPv4,23.20.202.124/32,
IPv4,23.236.55.100/32,
IPv4,3.1.91.162/32,
IPv4,3.10.99.149/32,
IPv4,3.104.239.68/32,
IPv4,3.108.211.221/32,
IPv4,3.11.177.171/32,
IPv4,3.111.153.244/32,
IPv4,3.111.177.42/32,
IPv4,3.123.45.203/32,
IPv4,3.125.31.111/32,
IPv4,3.126.22.251/32,
IPv4,3.127.213.42/32,
IPv4,3.128.164.220/32,
IPv4,3.129.154.99/32,
IPv4,3.129.236.235/32,
IPv4,3.130.129.92/32,
IPv4,3.131.182.129/32,
IPv4,3.133.49.173/32,
IPv4,3.134.165.237/32,
IPv4,3.134.31.160/32,
IPv4,3.135.66.230/32,
IPv4,3.139.221.64/32,
IPv4,3.140.4.182/32,
IPv4,3.142.214.48/32,
IPv4,3.142.41.85/32,
IPv4,3.146.213.188/32,
IPv4,3.147.158.118/32,
IPv4,3.147.235.196/32,
IPv4,3.148.87.97/32,
IPv4,3.149.157.188/32,
IPv4,3.16.117.247/32,
IPv4,3.16.226.73/32,
IPv4,3.20.255.11/32,
IPv4,3.21.150.93/32,
IPv4,3.28.113.134/32,
IPv4,3.29.170.21/32,
IPv4,3.29.175.65/32,
IPv4,3.29.243.39/32,
IPv4,3.65.225.208/32,
IPv4,3.67.209.217/32,
IPv4,3.67.229.110/32,
IPv4,3.69.125.237/32,
IPv4,3.7.133.210/32,
IPv4,3.70.73.127/32,
IPv4,3.73.218.43/32,
IPv4,3.74.210.117/32,
IPv4,3.75.160.67/32,
IPv4,3.75.36.11/32,
IPv4,3.75.6.195/32,
IPv4,3.75.66.191/32,
IPv4,3.78.145.132/32,
IPv4,3.78.180.19/32,
IPv4,3.79.69.210/32,
IPv4,3.86.122.166/32,
IPv4,3.91.162.25/32,
IPv4,3.96.27.86/32,
IPv4,3.97.107.201/32,
IPv4,34.102.140.197/32,
IPv4,34.102.145.211/32,
IPv4,34.102.156.255/32,
IPv4,34.102.169.193/32,
IPv4,34.102.202.235/32,
IPv4,34.102.221.122/32,
IPv4,34.102.237.169/32,
IPv4,34.105.148.240/32,
IPv4,34.107.175.178/32,
IPv4,34.107.207.6/32,
IPv4,34.107.226.222/32,
IPv4,34.107.230.139/32,
IPv4,34.110.130.243/32,
IPv4,34.110.200.173/32,
IPv4,34.110.202.132/32,
IPv4,34.110.218.244/32,
IPv4,34.111.106.45/32,
IPv4,34.111.127.201/32,
IPv4,34.111.13.116/32,
IPv4,34.111.152.67/32,
IPv4,34.111.16.211/32,
IPv4,34.111.219.185/32,
IPv4,34.111.79.72/32,
IPv4,34.116.86.185/32,
IPv4,34.117.100.132/32,
IPv4,34.117.102.183/32,
IPv4,34.117.103.153/32,
IPv4,34.117.118.190/32,
IPv4,34.117.128.64/32,
IPv4,34.117.159.120/32,
IPv4,34.117.176.124/32,
IPv4,34.117.203.175/32,
IPv4,34.117.226.172/32,
IPv4,34.117.237.106/32,
IPv4,34.117.27.114/32,
IPv4,34.117.60.35/32,
