Type,Address
IPv4,128.65.192.0/21
IPv4,179.237.64.0/18
IPv4,185.125.24.0/22
IPv4,185.143.100.0/22
IPv4,185.172.100.0/22
IPv4,185.176.224.0/22
IPv4,185.177.60.0/22
IPv4,185.181.160.0/22
IPv4,185.74.68.0/22
IPv4,188.213.128.0/22
IPv4,193.108.52.0/22
IPv4,193.111.233.0/24
IPv4,193.128.7.0/24
IPv4,193.134.250.0/24
IPv4,195.15.192.0/18
IPv4,37.156.40.0/21
IPv4,45.157.188.0/22
IPv4,83.166.128.0/19
IPv4,83.228.192.0/18
IPv4,84.16.64.0/19
IPv4,84.234.16.0/20
IPv4,89.47.48.0/22
IPv4,91.214.188.0/22
IPv4,93.88.240.0/20
IPv6,2001:1600::/29
