Type,Address,category,endpointId,required,serviceArea,tcpPorts,udpPorts
IPv4,13.107.6.152/31,Optimize,1,True,Exchange,"80,443",443
IPv4,13.107.18.10/31,Optimize,1,True,Exchange,"80,443",443
IPv4,13.107.128.0/22,Optimize,1,True,Exchange,"80,443",443
IPv4,23.103.160.0/20,Optimize,1,True,Exchange,"80,443",443
IPv4,40.96.0.0/13,Optimize,1,True,Exchange,"80,443",443
IPv4,40.104.0.0/15,Optimize,1,True,Exchange,"80,443",443
IPv4,52.96.0.0/14,Optimize,1,True,Exchange,"80,443",443
IPv4,131.253.33.215/32,Optimize,1,True,Exchange,"80,443",443
IPv4,132.245.0.0/16,Optimize,1,True,Exchange,"80,443",443
IPv4,150.171.32.0/22,Optimize,1,True,Exchange,"80,443",443
IPv4,204.79.197.215/32,Optimize,1,True,Exchange,"80,443",443
IPv4,13.107.6.152/31,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,13.107.18.10/31,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,13.107.128.0/22,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,23.103.160.0/20,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,40.96.0.0/13,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,40.104.0.0/15,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,52.96.0.0/14,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,131.253.33.215/32,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,132.245.0.0/16,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,150.171.32.0/22,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,204.79.197.215/32,Allow,2,False,Exchange,"143, 587, 993, 995",
IPv4,40.92.0.0/15,Allow,9,True,Exchange,443,
IPv4,40.107.0.0/16,Allow,9,True,Exchange,443,
IPv4,52.100.0.0/14,Allow,9,True,Exchange,443,
IPv4,52.238.78.88/32,Allow,9,True,Exchange,443,
IPv4,104.47.0.0/17,Allow,9,True,Exchange,443,
IPv4,40.92.0.0/15,Allow,10,True,Exchange,25,
IPv4,40.107.0.0/16,Allow,10,True,Exchange,25,
IPv4,52.100.0.0/14,Allow,10,True,Exchange,25,
IPv4,104.47.0.0/17,Allow,10,True,Exchange,25,
IPv4,52.112.0.0/14,Optimize,11,True,Skype,,"3478,3479,3480,3481"
IPv4,52.122.0.0/15,Optimize,11,True,Skype,,"3478,3479,3480,3481"
IPv4,52.112.0.0/14,Allow,12,True,Skype,"80,443",443
IPv4,52.122.0.0/15,Allow,12,True,Skype,"80,443",443
IPv4,13.107.136.0/22,Optimize,31,True,SharePoint,"80,443",443
IPv4,40.108.128.0/17,Optimize,31,True,SharePoint,"80,443",443
IPv4,52.104.0.0/14,Optimize,31,True,SharePoint,"80,443",443
