Type,Address,RetiredAt
IPv4,176.56.128.0/21,
IPv4,185.142.68.0/24,
IPv4,185.146.252.0/22,
IPv4,185.220.244.0/22,
IPv4,185.220.244.0/23,
IPv4,185.220.246.0/24,
IPv4,185.222.68.0/23,
IPv4,185.222.70.0/23,
IPv4,185.228.250.0/24,
IPv4,185.24.104.0/22,
IPv4,185.255.138.0/24,
IPv4,185.47.108.0/22,
IPv4,193.200.3.0/24,
IPv4,212.25.160.0/19,
IPv4,212.35.192.0/19,
IPv4,212.66.224.0/19,
IPv4,213.171.160.0/19,
IPv4,217.168.224.0/20,
IPv4,217.168.224.0/23,
IPv4,217.168.226.0/23,
IPv4,217.194.0.0/20,
IPv4,217.64.192.0/20,
IPv4,217.64.195.0/24,
IPv4,37.9.224.0/20,
IPv4,37.9.239.0/24,
IPv4,45.143.157.0/24,
IPv4,46.16.168.0/21,
IPv4,5.144.160.0/20,
IPv4,77.83.64.0/24,
IPv4,77.83.65.0/24,
IPv4,80.241.140.0/22,
IPv4,80.241.142.0/24,
IPv4,85.94.192.0/19,
IPv4,85.94.208.0/20,
IPv4,93.157.185.0/24,
IPv4,95.174.0.0/19,
IPv6,2001:4b78::/29,
IPv6,2001:4b78::/32,
IPv6,2a02:e9::/32,
IPv6,2a02:ea::/32,
IPv6,2a04:2700::/29,
IPv6,2a05:b6c0::/32,
IPv6,2a05:b6c1::/32,
IPv6,2a05:be80::/29,
IPv6,2a0b:fd40::/29,
IPv6,2a0d:b000::/29,
IPv4,77.83.66.0/24,2026-07-19T02:35:37.217597+00:00
IPv4,95.174.12.0/24,2026-07-19T02:35:37.217597+00:00
IPv4,80.241.143.0/24,2026-07-19T02:35:37.217597+00:00
