Type,Address,alpha2code,city,postal_code,region
IPv4,43.224.32.0/22,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.32.0.0/21,US,Piscataway,08854,US-NJ
IPv4,45.32.8.0/21,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.32.16.0/21,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.32.24.0/21,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.32.32.0/19,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.32.64.0/19,US,Los Angeles,90012,US-CA
IPv4,45.32.96.0/19,SG,Singapore,627753,SG-05
IPv4,45.32.128.0/20,US,Santa Clara,95054,US-CA
IPv4,45.32.144.0/21,FR,AUBERVILLIERS,93300,FR-93
IPv4,45.32.152.0/21,DE,Frankfurt,D-60314,DE-HE
IPv4,45.32.160.0/20,US,Miami,33142,US-FL
IPv4,45.32.176.0/21,GB,London,E14 9SZ,GB-LND
IPv4,45.32.184.0/22,NL,Amsterdam,2031,NL-NH
IPv4,45.32.188.0/22,AU,Alexandria,2015,AU-NSW
IPv4,45.32.192.0/20,US,Dallas,75201,US-TX
IPv4,45.32.208.0/20,US,Atlanta,30318,US-GA
IPv4,45.32.224.0/21,US,Kent,98032,US-WA
IPv4,45.32.232.0/21,NL,Amsterdam,2031,NL-NH
IPv4,45.32.240.0/21,AU,Alexandria,2015,AU-NSW
IPv4,45.32.248.0/21,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.63.0.0/20,US,Piscataway,08854,US-NJ
IPv4,45.63.16.0/21,US,Piscataway,08854,US-NJ
IPv4,45.63.24.0/21,AU,Alexandria,2015,AU-NSW
IPv4,45.63.32.0/21,US,Kent,98032,US-WA
IPv4,45.63.40.0/22,NL,Amsterdam,2031,NL-NH
IPv4,45.63.44.0/24,US,Atlanta,30318,US-GA
IPv4,45.63.46.0/23,US,Atlanta,30318,US-GA
IPv4,45.63.48.0/20,US,Los Angeles,90012,US-CA
IPv4,45.63.64.0/20,US,Elk Grove Village,60007,US-IL
IPv4,45.63.80.0/20,US,Santa Clara,95054,US-CA
IPv4,45.63.96.0/21,GB,London,E14 9SZ,GB-LND
IPv4,45.63.104.0/21,US,Miami,33142,US-FL
IPv4,45.63.112.0/22,FR,AUBERVILLIERS,93300,FR-93
IPv4,45.63.116.0/22,DE,Frankfurt,D-60314,DE-HE
IPv4,45.63.120.0/22,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.63.124.0/22,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.76.0.0/20,US,Piscataway,08854,US-NJ
IPv4,45.76.16.0/20,US,Elk Grove Village,60007,US-IL
IPv4,45.76.32.0/21,NL,Amsterdam,2031,NL-NH
IPv4,45.76.40.0/22,NL,Amsterdam,2031,NL-NH
IPv4,45.76.44.0/22,FR,AUBERVILLIERS,93300,FR-93
IPv4,45.76.48.0/21,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.76.56.0/22,US,Dallas,75201,US-TX
IPv4,45.76.60.0/22,US,Atlanta,30318,US-GA
IPv4,45.76.64.0/20,US,Los Angeles,90012,US-CA
IPv4,45.76.80.0/20,DE,Frankfurt,D-60314,DE-HE
IPv4,45.76.96.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.76.112.0/20,AU,Alexandria,2015,AU-NSW
IPv4,45.76.128.0/20,GB,London,E14 9SZ,GB-LND
IPv4,45.76.144.0/21,SG,Singapore,627753,SG-05
IPv4,45.76.152.0/21,SG,Singapore,627753,SG-05
IPv4,45.76.160.0/22,SG,Singapore,627753,SG-05
IPv4,45.76.164.0/22,US,Piscataway,08854,US-NJ
IPv4,45.76.168.0/21,US,Los Angeles,90012,US-CA
IPv4,45.76.176.0/20,SG,Singapore,627753,SG-05
IPv4,45.76.192.0/19,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.76.224.0/21,US,Elk Grove Village,60007,US-IL
IPv4,45.76.232.0/21,US,Dallas,75201,US-TX
IPv4,45.76.240.0/21,US,Kent,98032,US-WA
IPv4,45.76.248.0/21,US,Atlanta,30318,US-GA
IPv4,45.77.0.0/21,US,Santa Clara,95054,US-CA
IPv4,45.77.8.0/21,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.77.16.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.77.32.0/20,SG,Singapore,627753,SG-05
IPv4,45.77.48.0/22,AU,Alexandria,2015,AU-NSW
IPv4,45.77.52.0/22,DE,Frankfurt,D-60314,DE-HE
IPv4,45.77.56.0/22,GB,London,E14 9SZ,GB-LND
IPv4,45.77.60.0/22,FR,AUBERVILLIERS,93300,FR-93
IPv4,45.77.64.0/22,DE,Frankfurt,D-60314,DE-HE
IPv4,45.77.68.0/22,US,Los Angeles,90012,US-CA
IPv4,45.77.72.0/22,US,Miami,33142,US-FL
IPv4,45.77.76.0/22,US,Piscataway,08854,US-NJ
IPv4,45.77.80.0/22,US,Miami,33142,US-FL
IPv4,45.77.84.0/22,US,Los Angeles,90012,US-CA
IPv4,45.77.88.0/22,GB,London,E14 9SZ,GB-LND
IPv4,45.77.92.0/22,US,Miami,33142,US-FL
IPv4,45.77.96.0/20,US,Piscataway,08854,US-NJ
IPv4,45.77.112.0/21,US,Miami,33142,US-FL
IPv4,45.77.120.0/21,US,Los Angeles,90012,US-CA
IPv4,45.77.128.0/21,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.77.136.0/22,NL,Amsterdam,2031,NL-NH
IPv4,45.77.140.0/22,DE,Frankfurt,D-60314,DE-HE
IPv4,45.77.144.0/20,US,Piscataway,08854,US-NJ
IPv4,45.77.160.0/21,US,Miami,33142,US-FL
IPv4,45.77.168.0/21,SG,Singapore,627753,SG-05
IPv4,45.77.176.0/21,JP,Shinagawa-ku,142-0002,JP-13
IPv4,45.77.184.0/21,US,Santa Clara,95054,US-CA
IPv4,45.77.192.0/21,US,Miami,33142,US-FL
IPv4,45.77.200.0/21,US,Piscataway,08854,US-NJ
IPv4,45.77.208.0/21,US,Kent,98032,US-WA
IPv4,45.77.216.0/21,US,Piscataway,08854,US-NJ
IPv4,45.77.224.0/21,GB,London,E14 9SZ,GB-LND
IPv4,45.77.232.0/21,AU,Alexandria,2015,AU-NSW
IPv4,45.77.240.0/20,SG,Singapore,627753,SG-05
IPv4,64.176.0.0/19,CL,Santiago,8710067,CL-RM
IPv4,64.176.32.0/19,JP,Osaka,540-0001,JP-27
IPv4,64.176.64.0/20,PL,Warsaw,02 222,PL-14
IPv4,64.176.80.0/20,SG,Singapore,627753,SG-05
IPv4,64.176.96.0/19,IN,Bangalore,560066,IN-KA
IPv4,64.176.160.0/20,IL,Rosh HaAyin,4809139,IL-Tel Aviv
IPv4,64.176.176.0/20,GB,"Swinton, Manchester",M27 8BX,GB-GB-MAN
IPv4,64.176.192.0/19,US,Piscataway,08854,US-NJ
IPv4,64.176.224.0/19,KR,Seoul,03922,KR-11
IPv4,64.177.64.0/20,IL,Rosh HaAyin,4809139,IL-Tel Aviv
IPv4,64.177.80.0/21,MX,Santiago de Queretaro,76246,MX-CMX
IPv4,64.177.96.0/20,US,Springfield,45502,US-OH
IPv4,64.177.112.0/20,US,Elk Grove Village,60007,US-IL
IPv4,64.237.32.0/19,US,Piscataway,08854,US-NJ
IPv4,65.20.64.0/19,IN,Mumbai,400072,IN-MH
IPv4,65.20.96.0/20,ES,Madrid,28108,ES-M
IPv4,65.20.112.0/20,SE,Spanga,163 53,SE-AB
IPv4,66.42.32.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,66.42.48.0/20,SG,Singapore,627753,SG-05
IPv4,66.42.64.0/20,US,Kent,98032,US-WA
IPv4,66.42.80.0/20,US,Atlanta,30318,US-GA
IPv4,66.42.96.0/20,US,Los Angeles,90012,US-CA
IPv4,66.42.112.0/20,US,Elk Grove Village,60007,US-IL
IPv4,66.55.128.0/19,US,Piscataway,08854,US-NJ
IPv4,66.135.0.0/19,US,Piscataway,08854,US-NJ
IPv4,66.245.192.0/21,GB,"Swinton, Manchester",M27 8BX,GB-GB-MAN
IPv4,66.245.200.0/21,IT,Milan,20144,IT-IT-MI
IPv4,66.245.208.0/23,US,Maryland Heights,63043,US-MO
IPv4,66.245.212.0/22,IT,Milan,20144,IT-IT-MI
