Type,Address,RetiredAt
IPv4,103.151.85.0/24,
IPv4,130.117.185.0/24,
IPv4,130.117.252.0/24,
IPv4,149.13.185.0/24,
IPv4,149.5.241.0/24,
IPv4,154.18.200.0/24,
IPv4,154.49.215.0/24,
IPv4,154.56.213.0/24,
IPv4,154.61.149.0/24,
IPv4,206.148.5.0/24,
IPv4,27.131.254.0/24,
IPv4,38.126.68.0/24,
IPv4,38.143.146.0/24,
IPv4,38.146.208.0/24,
IPv4,38.146.209.0/24,
IPv4,38.146.40.0/24,
IPv4,38.242.13.0/24,
IPv4,38.27.106.0/24,
IPv4,38.73.225.0/24,
IPv4,38.91.42.0/24,
IPv4,27.131.252.0/24,2026-08-29T05:42:49.985384+00:00
IPv4,27.131.253.0/24,2026-08-29T05:42:49.985384+00:00
