Type,Address
IPv4,1.7.85.85/32
IPv4,103.76.52.0/22
IPv4,111.88.144.0/20
IPv4,111.88.240.0/20
IPv4,130.193.32.0/19
IPv4,153.51.32.0/19
IPv4,158.160.0.0/16
IPv4,178.154.192.0/18
IPv4,178.170.222.0/24
IPv4,185.184.128.0/22
IPv4,185.206.164.0/22
IPv4,185.216.194.0/23
IPv4,193.32.216.0/22
IPv4,194.247.51.0/24
IPv4,2.32.85.85/32
IPv4,213.130.80.0/21
IPv4,213.165.192.0/19
IPv4,217.198.168.0/21
IPv4,217.28.224.0/20
IPv4,31.44.8.0/21
IPv4,37.230.168.0/23
IPv4,37.230.172.0/22
IPv4,37.230.188.0/22
IPv4,45.133.96.0/22
IPv4,46.21.244.0/22
IPv4,46.243.210.0/23
IPv4,46.243.212.0/24
IPv4,51.250.0.0/17
IPv4,62.84.112.0/20
IPv4,81.26.176.0/20
IPv4,84.201.128.0/18
IPv4,84.201.151.229/32
IPv4,84.252.128.0/20
IPv4,89.169.128.0/18
IPv4,89.223.20.0/24
IPv4,89.223.6.0/23
IPv4,89.232.188.0/22
IPv4,92.255.1.0/24
IPv4,92.255.3.0/24
IPv4,92.255.58.0/23
IPv4,93.77.160.0/19
IPv4,94.126.204.0/22
IPv4,94.131.80.0/20
IPv4,94.139.248.0/22
IPv6,2a02:6b8::/32
IPv6,2a02:6b8:c02:900:0:f898::/112
IPv6,2a02:6b8:c0e:500:0:f898::/112
IPv6,2a02:6b8:c41:1300:0:f898::/112
IPv6,2a0d:d6c0::/29
IPv6,2a0d:d6c1:0:1a::20e/128
